Day,Date,Time,boxscore,Result,OT,Record,Home/Away,Opponent,Tm_Score,Opp_Score,O_1stD,O_TotYd,O_PassY,O_RushY,O_TO,D_1stD,D_TotYd,D_PassY,D_RushY,D_TO,O_EXP,D_EXP,Sp_Tms
Fri,September 6,8:15PM ET,boxscore,L,,0-1,@,Philadelphia Eagles,29,34,19,414,251,163,1,25,410,266,144,3,10.53,-11.27,-4.39
Sun,September 15,1:00PM ET,boxscore,W,,1-1,,Indianapolis Colts,16,10,19,383,122,261,1,19,338,198,140,3,3.59,1.85,1.56
Sun,September 22,1:00PM ET,boxscore,W,,2-1,@,Tennessee Titans,30,14,16,378,190,188,,18,237,204,33,3,4.57,9.81,-0.24
Sun,September 29,1:00PM ET,preview,,,,,Minnesota Vikings,0,,,,,,,,,,,,,,
Sun,October 6,4:25PM ET,preview,,,,@,Los Angeles Rams,0,,,,,,,,,,,,,,
Sun,October 13,1:00PM ET,preview,,,,,Arizona Cardinals,0,,,,,,,,,,,,,,
Sun,October 20,1:00PM ET,preview,,,,,Houston Texans,0,,,,,,,,,,,,,,
Sun,October 27,1:00PM ET,preview,,,,@,Jacksonville Jaguars,0,,,,,,,,,,,,,,
Sun,November 3,4:25PM ET,preview,,,,,Detroit Lions,0,,,,,,,,,,,,,,
,,,,,,,,Bye Week,,,,,,,,,,,,,,,
Sun,November 17,1:00PM ET,preview,,,,@,Chicago Bears,0,,,,,,,,,,,,,,
Sun,November 24,4:25PM ET,preview,,,,,San Francisco 49ers,0,,,,,,,,,,,,,,
Thu,November 28,8:20PM ET,preview,,,,,Miami Dolphins,0,,,,,,,,,,,,,,
Thu,December 5,8:15PM ET,preview,,,,@,Detroit Lions,0,,,,,,,,,,,,,,
Sun,December 15,8:20PM ET,preview,,,,@,Seattle Seahawks,0,,,,,,,,,,,,,,
Mon,December 23,8:15PM ET,preview,,,,,New Orleans Saints,0,,,,,,,,,,,,,,
Sun,December 29,1:00PM ET,preview,,,,@,Minnesota Vikings,0,,,,,,,,,,,,,,
Sun,January 5,1:00PM ET,preview,,,,,Chicago Bears,0,,,,,,,,,,,,,,

Jordan Love,26,QB,1,1,17,34,260,312,9.2,122,7.2,3.6,138,8.1
Malik Willis,25,QB,3,2,25,34,324,217,6.4,121,4.8,3.6,203,8.1
